RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,30/09/2020
1970,1852,Pickens County,County,AL,AL,Tuscaloosa,1,107,96416
2442,1853,Montague County,County,TX,TX,,48,337,119274
1874,1854,Lincoln County,County,MT,MT,,30,53,244615
2376,1855,Lampasas County,County,TX,TX,Killeen-Temple,48,281,201503
2471,1856,Paulding County,County,OH,OH,,39,125,92446
3042,1857,Tishomingo County,County,MS,MS,,28,141,90935
2673,1858,Covington County,County,MS,MS,,28,31,110081
842,1859,Attala County,County,MS,MS,,28,7,75317
1654,1860,Davison County,County,SD,SD,Mitchell,46,35,165921
2918,1861,Deaf Smith County,County,TX,TX,Hereford,48,117,96547
677,1862,Perry County,County,IN,IN,,18,123,117596
603,1863,Llano County,County,TX,TX,,48,299,296578
1543,1864,Berrien County,County,GA,GA,,13,19,93356
1145,1865,Lavaca County,County,TX,TX,,48,285,183099
1896,1866,Madison County,County,FL,FL,,12,79,107536
87,1867,Lee County,County,SC,SC,,45,61,60759
2102,1868,Winston County,County,MS,MS,,28,159,91964
1095,1868,Holmes County,County,MS,MS,,28,51,43466
724,1870,Smith County,County,TN,TN,Nashville-Davidson--Murfreesboro--Franklin,47,159,147700
1484,1871,Waseca County,County,MN,MN,,27,161,170930
2741,1872,Jefferson County,County,KS,KS,Topeka,20,87,167231
778,1873,Union County,County,TN,TN,Knoxville,47,173,149298
1750,1874,Hancock County,County,IL,IL,Fort Madison-Keokuk,17,67,70591
868,1875,Benton County,County,MO,MO,,29,15,111819
2932,1876,Green Lake County,County,WI,WI,,55,47,155231
1783,1877,Houston County,County,MN,MN,La Crosse-Onalaska,27,55,212105
2128,1878,Arkansas County,County,AR,AR,,5,1,81989
679,1879,Perry County,County,MO,MO,,29,157,149747
2988,1880,New Madrid County,County,MO,MO,,29,143,81961
2829,1881,Poweshiek County,County,IA,IA,,19,157,150265
2331,1882,Harrison County,County,KY,KY,,21,97,111980
663,1883,Otero County,County,CO,CO,,8,89,97098
1501,1884,Wright County,County,MO,MO,,29,229,123241
1770,1885,Haywood County,County,TN,TN,Brownsville,47,75,91107
1319,1886,Pierce County,County,GA,GA,Waycross,13,229,129021
363,1887,Adams County,County,WA,WA,Othello,53,1,201341
986,1888,Dekalb County,County,TN,TN,,47,41,151565
350,1889,Adair County,County,KY,KY,,21,1,96876
2254,1890,Duchesne County,County,UT,UT,,49,13,219729
2256,1891,Eastland County,County,TX,TX,,48,133,85529
495,1892,Edgar County,County,IL,IL,,17,45,61953
3140,1893,Southampton County,County,VA,VA,,51,175,155818
819,1894,Young County,County,TX,TX,,48,503,97348
188,1895,Inyo County,County,CA,CA,,6,27,361971
2728,1896,Humphreys County,County,TN,TN,,47,85,135918
277,1897,Pike County,County,MO,MO,,29,163,104121
150,1898,Drew County,County,AR,AR,,5,43,94374
430,1899,Cedar County,County,IA,IA,,19,31,170159
1965,1900,Patrick County,County,VA,VA,,51,141,103349
2451,1901,New Kent County,County,VA,VA,Richmond,51,127,296198
2150,1902,Brantley County,County,GA,GA,Brunswick,13,25,100457
1064,1903,Greene County,County,VA,VA,Charlottesville,51,79,249010
